Velo,SpinRate,HorzBreak,InducedVertBreak
94.72,2375,3.1,18.15
95.25,2033,11.26,14.5
92.61,2389,11,21.93
94.94,2360,6.84,18.11
97.42,2214,16.7,13.38
95.98,2495,11.25,17.12
94.88,1998,15.13,15.22
92.73,2049,1.55,18.47
92.39,1955,18.15,7.25
95.77,1976,10.04,14.56
93.27,2076,11.45,11.5
91.95,2465,9.12,21
92.24,2391,0.56,13.23
93.1,2130,3.97,16.75
95.38,2262,7.44,17.64
94.54,2116,13.3,8.16
94.22,2325,8.85,17.63
95.14,2451,5.68,18.71
91.91,2073,13.77,14.65
94.42,2232,8.61,19.04
92.06,2184,-3.89,4.09
94.99,2317,6.05,13.93
94.8,3009,10.06,17.07
91.25,2077,13.02,13.67
97.6,2080,16.79,-0.58
95.78,2314,13.22,16.79
95.58,2253,5.07,17.3
92.63,2334,1.44,17.63
89.9,2191,17.65,9.55
96.23,2469,6.28,20.41
90.67,2447,12.69,14.4
94.1,2261,11.57,20.01
94.6,2014,2.89,14.19
93.57,2291,14.04,14.78
93.74,2200,8.27,17.94
94.85,2660,6.82,20.72
88.41,1876,14.75,13.56
96.76,2353,8.91,17.73
97.99,2077,14.73,15.91
89.4,2169,17.83,8.61
95.17,2305,4.59,20.69
90.32,2068,13.56,7.73
95.36,2191,12.29,9
92.29,2591,-0.02,15.27
91.98,2273,16.16,8.9
95.57,2200,15.33,11.87
93.33,2174,9.79,15.34
92.03,2231,4.35,12.68
95.18,2219,6.12,19.91
92.89,2141,9.56,14.23
97.34,2383,5.9,19.13
92.75,2444,-0.37,13.54
96.36,2799,1.43,12.44
88.32,2289,2.7,18.12
89.24,2099,4,18.98
94.81,1939,10.58,14.59
94.95,2228,3.24,19.51
91.72,2227,2.03,16.19
92.98,2193,20.09,7.2
95.68,2169,13.62,14.62
90.69,2274,3.79,17.91
94.77,1860,10.63,12.25
93.23,2270,9.65,16.73
95.39,2103,16.47,13.96
92.07,2028,9.99,17.24
97.67,2792,12.23,10.93
95.3,2155,5.69,19.92
94.43,1910,3.12,12.78
93.48,2333,13.84,11.14
98.56,2132,13.3,10.25
94.08,2041,4.45,10.39
94.19,2448,6.54,20.37
93.96,1892,7.86,16.15
94.16,2479,5.98,21.57
93.9,2190,16.36,8.61
94.43,2037,15.55,12.56
93.32,2366,1.29,18.94
92.7,2341,2.38,22.79
93.34,1913,16.33,7.03
92.42,2182,10.7,14.98
92.02,2263,14.03,15.01
93.04,2264,10.22,14.53
94.05,2253,12.93,16.38
93.43,2030,10.97,13.58
92.03,2247,2.57,18.07
93.77,2034,4.07,16.63
94.8,2219,11.8,6.13
97.68,2538,9.88,19.23
85.09,1771,12.72,8.1
88,1786,13.5,5.5
92.68,2080,6.85,14.92
96.71,2201,16.14,7.46
92.52,2408,16.07,13.7
97.32,2046,9.6,16.26
95.78,2257,15.84,6.45
94.53,2060,16.93,5.06
94.7,2544,6.52,15.04
94.71,2181,3.15,16.58
96.12,1626,2.93,13.45
91.7,2275,19,7.15
94.18,2060,4.41,15.27
94.23,2278,6.96,20.41
94.97,2303,3.8,18.51
93.76,2356,9.5,16.61
93.07,2450,3.11,16.04
94.99,2541,13.25,17.8
95.49,2400,7.38,14.16
94.82,2538,15.16,9.42
92.41,2288,12.82,16.42
93.34,2113,11.46,15.13
95.29,1836,3.34,14.34
95.29,2582,10.51,20.09
87.81,2174,13.33,13.61
90.93,2437,1.64,25.53
93.83,2067,6.62,17.77
91.66,2232,1.41,20
95.73,2462,14.35,14.66
89.94,2310,18.41,16.98
93.03,2480,8.87,17.02
92.38,2132,14.34,9.21
93.92,2294,9.1,19.55
96.14,2134,12.14,14.99
97.3,2393,10.53,16.83
90.91,2069,16.27,9.02
95.09,2434,10.88,18.71
94.16,2199,20.66,10.69
91.91,2135,15.66,8.5
95.56,1989,18.83,9.04
92.17,2224,8.2,16.33
91.16,2146,14.98,17.96
93.28,2074,13.23,9.68
97.7,2477,6.23,16.61
92.17,2266,3.19,19.88
93.79,2544,4.16,16.86
95.96,2534,14.36,10.7
92.69,2189,8.4,9.55
93.49,2398,3.45,10.97
89.41,2183,14.83,12.44
93.79,2261,5.62,19.85
91.82,2016,14.92,8.29
93.18,2226,14.53,8.82
94.14,2474,12.61,16.47
95.61,2225,12.88,15.95
95.78,2204,15.94,10.09
93.44,2077,1.27,16.75
92.47,2091,5.59,16.63
94.8,2339,15.02,17.12
91.77,2472,-0.63,14.15
94.5,2033,15.58,13.09
96.88,2340,8.34,15.18
92.56,1904,13.44,9.82
99.9,2137,12.49,5.47
89.57,2278,5.12,16.08
91.78,2191,9.25,16.09
93.32,2054,5.39,15.93
96.84,2246,11,14.09
92.33,2259,14.71,11.06
93.68,2507,0.35,14.83
96.56,2398,9.14,18.59
95.67,2268,7.44,16.18
94.14,2040,17.91,8.71
94.68,1860,14.45,9.77
92.61,1876,17.58,-6.33
94.81,2121,12.85,11.06
91.74,2491,-0.55,10.24
96.06,2113,10.62,10.88
91.79,2073,12.12,15.01
93.64,2066,5.87,16.29
95.2,2045,15.77,9.69
95.82,2388,4.86,19.2
92.78,1935,19.37,4.62
92.52,2329,6.2,13.44
94.79,2187,8.15,16.87
94.37,2246,4.62,18.51
90.34,1917,5.51,12.14
92.12,2498,3.91,20.77
